facility_name,x,y,address
Onyx Inn,-79.988013,40.428864,1011 Carson Street PA 15203
VFW / Vesle Post #418,-80.0726085,40.465161,1242 Chartiers  Avenue PA 15136
Wholey's Market Kiosk / Andy's Sushi Bar,-79.985862,40.450104,1711 Penn Avenue PA 15222
Don's Pizzeria,-80.232597,40.44114,7936 Steubenville Pike PA 15071
VFW / Post #5758,-79.7544765,40.601286,208 4th Avenue PA 15084
Highland Bar,-80.0349075,40.522131,517-519 Perry Highway PA 15229
PNC Park / 01.59.01 Chicken on the Hill #144,-80.0059815,40.446981,115 Federal Street PA 15212
Speedie's Pizza,-80.250777,40.450743,514 U.S. Route 30 PA 15126
Portofino's Pizza & Pasta,-80.0682255,40.438251,28 W Steuben St PA 15205
Gateway Inn,-79.938003966335,40.6391677134616,5641 Wm Flynn  Highway PA 15044
Target #1217 / Starbucks Cafe ,-80.1836145,40.446324,600 Chauvet Drive PA 15275
Grand Concourse Restaurant & Gandy Dancer Saloon,-80.003646,40.433391,100 Station Square Drive PA 15219
Messina's Pizza & Restaurant,-79.9256835,40.605552,4992 Middle Road PA 15044
The Church Brew Works,-79.9643385,40.462119,3525 Liberty  Avenue PA 15201
Arby's #1853,-80.0203005,40.364955,3700 Library  Road PA 15234
Arby's #1854,-79.8856335,40.422726,1911 Braddock Avenue PA 15218
Knights Of Columbus Bellevue Council #1400,-80.053911,40.495446,450 Lincoln Ave PA 15202
Dish Osteria & Bar,-79.982343,40.427505,128 17th Street PA 15203
Omni William Penn Hotel / Employee Cafe,-80.0026785,40.442418,530 Wm Penn Place PA 15219
SNPJ Lodge 106 Club / Imperial Room Banquet Hall,-80.2339155,40.451058,255 West Allegheny Road PA 15126
Luciano's Italian Brick Oven,-79.811829,40.333635,1212 Long Run  Road PA 15131
Gianni's,-80.210583,40.440132,7780 Steubenville Pike PA 15071
St Clair Country Club,-80.0780265,40.331376,2300 Old Washington Road PA 15241
Strike Zone Pub @ Miracle Lanes Bowling Center,-79.7706714162332,40.4410723438756,4045 Wm Penn  Highway PA 15146
Eat'n Park #30,-79.825176,40.467447,11746 Frankstown Road PA 15235
Poor Richard's Public House,-80.053335,40.609134,10501 Perry Highway PA 15090
Valliant's Diner,-80.0235945,40.539069,3418 Babcock Boulevard PA 15237
Upstairs Saloon / Arsenal Bowling Lanes,-79.959996,40.470912,4310 Butler  Street PA 15201
La Barbe Restaurant,-79.7660058327391,40.4454740070098,4397 Old Wm Penn Hwy PA 15146
Tugboat's Restaurant & Bar,-79.841979,40.410387,105 West Street PA 15112
MugShots Grill & Bar,-80.0711145,40.439736,25 Walsh  Road PA 15205
Eat'n Park #48,-80.099136,40.673142,19085 Perry Highway PA 16046
Kentucky Fried Chicken #65,-80.0326935,40.51746,804 West View Park Drive PA 15229
Firstside Cafe @ PNC Firstside Center,-79.997598,40.435866,500 1st Avenue PA 15219
Hemingway's Cafe,-79.956216,40.442265,3911 Forbes Avenue PA 15213
Papa Rocks Pizza,-79.7671575,40.390524,4512 Broadway Ave PA 15146
Eat'n Park #4,-80.0335665,40.395762,2874 West Liberty  Avenue PA 15216
Tram's Kitchen,-79.9559415,40.465341,4050 Penn Ave PA 15224
China House,-80.0599725,40.631607,12037 Perry Highway PA 15090
Croatian National Hall ,-79.998372,40.455036,805 East  Street PA 15212
The New York Hot Dog & Diner,-80.0376345,40.570983,9022 Old Perry Highway PA 15237
Gateway Clipper / Empress,-80.0077365,40.435443,350 Station Square Drive PA 15219
Baskin-Robbins #765,-79.881669,40.487499,1110 Freeport Road PA 15238
The Saloon Of Mt Lebanon,-80.0443485,40.382037,622 Washington  Road PA 15228
Eat'n Park #24,-79.726806,40.621914,1626 Broadview Boulevard PA 15065
Fodis Tavern,-79.959294,40.517388,1021 Mt Royal Boulevard PA 15223
